Date,Open,High,Low,Close
2020-01-06,7357.64000000,8455.00000000,7346.76000000,8184.98000000
2020-01-13,8184.97000000,9198.98000000,8055.89000000,8701.70000000
2020-01-20,8701.72000000,8818.00000000,8238.00000000,8615.00000000
2020-01-27,8614.39000000,9578.00000000,8535.00000000,9331.51000000
2020-02-03,9331.59000000,10166.00000000,9093.01000000,10151.75000000
2020-02-10,10151.72000000,10500.00000000,9638.12000000,9917.27000000
2020-02-17,9910.70000000,10250.00000000,9350.00000000,9936.40000000
2020-02-24,9936.40000000,9990.00000000,8411.00000000,8531.88000000
2020-03-02,8530.30000000,9188.00000000,8000.00000000,8033.31000000
2020-03-09,8034.76000000,8179.31000000,3782.13000000,5361.30000000
2020-03-16,5360.33000000,6900.00000000,4442.12000000,5816.19000000
2020-03-23,5816.05000000,6957.96000000,5688.00000000,5881.42000000
2020-03-30,5880.50000000,7198.00000000,5857.76000000,6772.78000000
2020-04-06,6772.78000000,7459.69000000,6739.98000000,6903.79000000
2020-04-13,6903.79000000,7293.08000000,6468.27000000,7120.74000000
2020-04-20,7121.40000000,7738.00000000,6751.00000000,7693.10000000
2020-04-27,7693.10000000,9460.00000000,7606.00000000,8894.16000000
2020-05-04,8894.15000000,10067.00000000,8117.00000000,8722.77000000
2020-05-11,8722.77000000,9939.00000000,8200.00000000,9680.04000000
2020-05-18,9681.11000000,9950.00000000,8700.00000000,8720.34000000
2020-05-25,8718.14000000,9740.00000000,8642.72000000,9448.27000000
2020-06-01,9448.27000000,10380.00000000,9266.00000000,9746.99000000
2020-06-08,9746.99000000,9992.72000000,9113.00000000,9342.10000000
2020-06-15,9342.10000000,9589.00000000,8910.45000000,9294.69000000
2020-06-22,9294.69000000,9780.00000000,8833.00000000,9116.35000000
2020-06-29,9116.16000000,9292.00000000,8893.03000000,9069.41000000
2020-07-06,9069.41000000,9470.00000000,9055.92000000,9302.75000000
2020-07-13,9303.31000000,9343.82000000,9047.25000000,9208.99000000
2020-07-20,9208.99000000,10111.00000000,9131.00000000,9931.54000000
2020-07-27,9931.54000000,12123.46000000,9917.21000000,11071.35000000
2020-08-03,11071.36000000,11909.94000000,10936.00000000,11681.68000000
2020-08-10,11681.69000000,12067.35000000,11125.00000000,11911.00000000
2020-08-17,11910.99000000,12468.00000000,11376.81000000,11648.13000000
2020-08-24,11648.12000000,11824.90000000,11117.64000000,11711.16000000
2020-08-31,11711.17000000,12050.85000000,9825.00000000,10256.20000000
2020-09-07,10255.89000000,10580.11000000,9850.00000000,10332.83000000
2020-09-14,10332.84000000,11179.79000000,10212.34000000,10920.28000000
2020-09-21,10920.28000000,10988.86000000,10136.82000000,10774.25000000
2020-09-28,10774.26000000,10950.00000000,10374.00000000,10666.63000000
